,Company,PriceRs.,Day LowRs.
0,Kalyan Jewell.India,716.05,749.00
1,Zomato,272.90,286.45
2,PNB Housing Finance,1137.05,1202.20
3,Kaynes Technology,5333.25,5508.80
4,Bharti Airtel,1634.45,1654.90
5,Home First Finance,1203.15,1274.00
6,Jubilant Pharmova,1191.00,1227.00
7,Oracle Finl. Service,12261.90,12313.55
8,Nazara Technologies,1049.65,1059.00
9,Bajaj Finserv,1894.45,1906.90
10,Campus Activewear,323.80,345.15
11,Godfrey Phillips,7316.80,7430.95
12,Bajaj Auto,11737.15,11893.95
13,Bharti Hexacom Ltd.,1360.65,1453.95
14,Coforge,7013.75,7043.95
15,Sanofi Cons. Health,4903.50,4600.00
16,Kirloskar Ferrous,452.20,446.30
17,SpiceJet,31.70,31.05
18,Positron Energy,489.45,470.00
19,Kennametal India,2476.10,2412.35
20,Andrew Yule,31.35,30.55
21,Lancer Container,49.90,49.20
22,Goodyear India,1273.70,1255.25
23,QVC Exports,75.30,72.30
24,Kovai Medical Center,2576.65,2505.60
25,Shivalic Power Con.,237.15,236.00
26,Niyogin Fintech,58.77,57.00
27,Novartis,672.25,668.35
28,Solve Plastic Prod,64.20,61.00
29,Bulkcorp Internl,103.30,100.00
